,Sentence
11,the power steering assist fault that is currently on recall for 2011 and up is the same exact thing that is happening to my 2010 i need the 2010 to be reevaluated and added to that recall i did nothing to cause the power steering to go out this is 100 on ford they need to fix the issue i have no power steering and if i were to ever wreck due to this issue i will involve lawyers and get the ford name involved 2010 needs to be added to the recall i am not the only 2010 with this same issue if its happening to thousands of 2010s it is a ford recall issue not car owner issue i need this the power steering assist fault that is currently on recall for 2011 and up is the same exact thing that is happening to my 2010 i need the 2010 to be reevaluated and added to that recall i did nothing to cause the power steering to go out this is 100 on ford they need to fix the issue i have no power steering and if i were to ever wreck due to this issue i will involve lawyers and get the ford name involved 2010 needs to be added to the recall i am not the only 2010 with this same issue if its happening to thousands of 2010s it is a ford recall issue not car owner issue i need this
12,my 2017 chevy volt has an adaptive cruise control problem it will only work when it wants to but what make it so dangerous is that if you get it to engage it will randomly and without any warning disengage itself if you are using the 2017 volt in the low gear mode and this happens the car will rapidly decelerate which is very dangerous and has almost cause the people behind me to run into me i have tried to get this fixed several times but it seems nobody knows what to do with it and they will try but it just goes right back to doing it again
13,vehicle has been observed to undergo unnecessary emergency braking operations during the use of the adaptive cruise control system the vehicle seems to be sensing something thats not actually present and this causes it to brake rapidly the problem is not repeatable when driving the same route under similar conditions this is an ongoing problem that has been brought up with the honda dealer but as yet remains an unresolved intermittent problem
14,toyota pre-collision system with pedestrian detection does not appear to work as advertised the vehicle has been back to the dealership due to the pre-collision system not sending a warning as it should dealership stated that there would most like cause damage to my vehicle if they attempted to test the system the the vehicle did not stop as it should they would not be responsible for the damage they caused i also contacted toyota directly how said they could not comment and i need to refer to the toyota documentation which i explained show the vehicle sending warnings and stopping well before my vehicle does the dealership did confirm the sensitivity was turned all the way up they toyota pre-collision system with pedestrian detection does not appear to work as advertised the vehicle has been back to the dealership due to the pre-collision system not sending a warning as it should dealership stated that there would most like cause damage to my vehicle if they attempted to test the system the the vehicle did not stop as it should they would not be responsible for the damage they caused i also contacted toyota directly how said they could not comment and i need to refer to the toyota documentation which i explained show the vehicle sending warnings and stopping well before my vehicle does the dealership did confirm the sensitivity was turned all the way up they
15,i own a 2008 ford escape that has recently been diagnosed with a known recalled issue with the torque sensor error code b2278 it has caused the electric power steering assist to turn off my vehicle currently has no power steering due to this issue that has already been recalled my vehicle falls under the model and year that ford recalled the part on however the ford motor company is claiming they have no responsibility in the repair or replacement of the part luckily i was at a slow speed when the power steering went out and did not cause an accident i own a 2008 ford escape that has recently been diagnosed with a known recalled issue with the torque sensor error code b2278 it has caused the electric power steering assist to turn off my vehicle currently has no power steering due to this issue that has already been recalled my vehicle falls under the model and year that ford recalled the part on however the ford motor company is claiming they have no responsibility in the repair or replacement of the part luckily i was at a slow speed when the power steering went out and did not cause an accident
16,driving in inclement weather snowfreezing rain the honda sense radar will become covered in snow and or ice causing it to light up the dashboard with warning lights none of the honda safety features work adaptive cruise lane assist automatic braking even if you are not using them at the time they all shut down the worst being the automatic braking could cause wrecks if it hasnt already when the dash lights up it starts beeping constantly and you have to close out 2021-03-04 00:00:00 notifications before it will stop blinking has happened on highway as well as just normal driving state roads has happened to me 3 different times car has 12000 miles
17,on three separate occasions the emergency braking system engaged while driving at a moderate speed without reason today is the second visit to the dealer to rectify the issue the most recent occurance was 2520 and almost caused a vehicle behind me to run into my suv
18,tl the contact owned a 2008 mercury mariner while driving the power steering assist suddenly failed and the steering became difficult to turn the cause of the failure was not determined the contact was unable to drive the vehicle safely the contact stated that the while driving approximately 60 mph the power steering assist failure message suddenly occurred and the steering wheel became very difficult to turn in either direction the manufacturer and local dealer was not notified the vin was not included in the nhtsa campaign number 14v284000steering the contact stated that the vehicle had experienced the same failure listed in the recall the failure mileage was 21500000
19,this is a known issue loss of steering assist occurred this past week 3 times we took the vehicle in for the recall on this item 2019-05-16 00:00:00 when the system was reprogrammed by the techs at the chevy dealership we had never experienced this issue then last week the issue occurred there was a temporary loss of power assist on a long right hand turn at 35 mph when a female was driving which caused some concern then yesterday the steering stopped entirely in a parking lot i arrived and got in the car and was able to steer but someone of lesser strength could not have i drove around the parking lot and was headed straight
20,tl the contact owns a 2012 ford fusion while stopped at an intersection making a left turn the steering power steering assist warning light illuminated which caused the steering to cease the contact was able to drive the vehicle in manual steering mode to his fathers residence bickford ford 3100 bickford ave snohomish wa 98290 425334-4045 was contacted by phone and informed of the failure the contact was informed that the vin was not subjected to a recall the manufacturer was not contacted or informed of the failure the approximate failure mileage was 16000000 the vin was not available
21,constantly getting a message on dash power steering assist fault occasionally a message about transmission comes up but too quick to read see that ford has done a recall on both of these items but havent actually issued it yet my vin is not showing as one affected despite getting these messages i am hearing some sort of noise that we can not identify and worry it is something with either one of these issues hard to describe the noise but replaced brakes and rotors thinking it could be that but the noise is still there worried this could cause a accident not sure why ford does a recall but doesnt send it out when it is a known problem usually hear the
22,while driving on city streets numerous system warnings sounded and illuminated and several vehicle systems became disabled gasoline seeping into engine oil caused these issues which include electric parking brake problem tpms problem brake system problem brake hold system problem awd system problem adaptive cruise control problem collision mitigation system problem road departure mitigation system problem and emissions system problem the dealer found the engine oil to be saturated with gasoline which according to them caused faults in the other systems
23,starting the car from park causes an error to display stating power steering assist fault and the loss of power steering for the vehicle
24,while traversing a freeway overpass going 60 to 65 mph the truck suddenly lurched to the left fortunately no immediate traffic on my left really frightened me after much research i discovered that a component circuit board of the new speed sensitive power steering could fail making the truck think it was going slower and increase the power steering assist causing the lurch to the left this was after having the entire front end of the vehicle checked for alignment faulty or damaged parts any adjustments out of spec they found no cause i dont actually remember the date and have estimated the date below i eventually solved the problem after further research indicating that replacing the circuit board sometimes was only
25,the blind spot assist bsa system is malfunctioning and causes intermittent problems to the headlights malfunctioning during driving or dashboard messages flashing while driving this problem is widely reported on mercedes e350 4matic cars across multi year models mercedes is unwilling to share data of this systemic failures this should be a recall for defective bsa system components
26,car displays warning of power steering assist fault and car looses ability to steer this happens when the car is both stationary and moving this is a safety issue this will cause me to wreck with my children in the car
27,tl the contact owns a 2005 chevrolet cobalt the contact stated that while driving at various speeds the vehicle lost power steering assist which caused the steering wheel to become very difficult to turn in either direction the check engine warning light was illuminated the cause of the failure was not determined rodgers auto group located at 2720 s michigan ave chicago il was notified of the failure but no assistance was offered the contact indicated that the vehicle was previously repaired under the nhtsa campaign number 10v073000 steering the manufacturer was also notified of the failure the failure mileage was 3500000
28,automatic braking system deploys without cause situation driving on interstate no cars within a half mile going 75 with acc and breaks automatically slammed on with a collision warning sensor and car were clean no cars or possible impacts this has happened 2021-03-04 00:00:00 times additional situations acc turns off both on interstate and on long highway bridge situations were different both day and night time with other cars and without all situations had no possible chance of impact acc will turn off while car is going in 50-70 mph range and suddenly break in the middle of the road without any warning dealership responded nothing is perfect this has now happened roughly 7 times with no advice from the dealer
29,new purchase 2020-02-29 00:00:00 the mercedes sprinter 2500 that was upfitted by airstream into the airstream interstate nineteen i drove about 60 miles and when backing from a parking spot i felt a sudden grabjolt from the right front undercarriage as if backed over a dogchild thankfully nothing three more times this occurred over two days but wo finding a cause i chose to drive 800 miles to seattle from california via i-5 about 40 miles enroute i was going 70 mph on a straight slight downgrade stretch when the vehicle suddenly grabbed to the right with a shortabrupt jerk on the steering wheel this was the
30,tl the contact owns a 2018 ford f-150 the contact stated that while driving and turning left the vehicle stalled with the shift to park warning displayed the contact stated that the power steering assist was inoperable the contact also stated that the back-up camera failed intermittently the vehicle was taken to mace ford located at 4501 us-41 terre haute in 47802 twice to be diagnosed the mechanic was unable to duplicate the failure or retrieve a fault code for the cause of the failure the contact was concerned about oil consumption the vehicle was not repaired the manufacturer was not made aware of the failure the failure mileage was approximately 6000dtjb
31,tl the contact owns a 2018 honda cr-v the contact stated that while driving at speeds above 45 mph the forward collision avoidance system braking feature activated causing the vehicle to abruptly stop the failure recurred on multiple occasions the cause of the failure was not yet determined the vehicle was not repaired planet honda located at 2285 us highway 22 union nj was notified of the failure the manufacturer was not contacted the failure mileage was 450000
32,tl the contact owns a 2004 saturn ion the contact stated that the power steering assist failed to function as designed intermittently which caused difficulty while attempting to maneuver the vehicle the vehicle was taken to vera cadillac located at 300 s university dr pembroke pines fl 33025 -954 417-8998 to be diagnosed the mechanic was unable to duplicate the failure or retrieve a fault code the vehicle was not repaired the manufacturer was not notified of the failure the approximate failure mileage was 24400000
33,while driving along secondary roadway with no other cars within sight or obstructions within view automatic braking of the vehicle occurred braking action was severe enough to cause driver to be propelled against the seat belt shoulder strap brakes released within approximately one second after application took vehicle to dealer next day after episode to diagnose problem service technician found no faults stated operation of automatic braking on occasion is normal operation due to the sensitivity of the feature it was indicated to me that the service technician contacted bmw na and was given this explanation when asked if there was a fix i n the works to resolve this issue bmw na replied they considered this operation normal for all of their while driving along secondary roadway with no other cars within sight or obstructions within view automatic braking of the vehicle occurred braking action was severe enough to cause driver to be propelled against the seat belt shoulder strap brakes released within approximately one second after application took vehicle to dealer next day after episode to diagnose problem service technician found no faults stated operation of automatic braking on occasion is normal operation due to the sensitivity of the feature it was indicated to me that the service technician contacted bmw na and was given this explanation when asked if there was a fix i n the works to resolve this issue bmw na replied they considered this operation normal for all of their
34,tl the contact owns a 2011 ford fusion the contact stated that while driving approximately 35 mph the power steering failed and the steering wheel became very difficult to turn in either direction the power steering assist fault was displayed on the instrument panel the cause of the failure was not determined the local dealer greenway ford 9001 e colonial dr orlando fl was notified of the failure the manufacturer was not notified of the failure the failure mileage was 15500000
35,when driving sometimes the bsd system turn off without any advance warning this could cause accidents the blind spot collision warning hyundai need to be reviewed well and address the issue many people complain about this tr
36,tl the contact owns a 2011 ford fusion the contact stated the vehicle was serviced under nhtsa campaign number 15v340000 steering however the failure recurred the contact stated that while driving at various speeds the vehicle loss power steering assist which caused the vehicle to be difficult to steer the contact stated that the failure recurred on several occasions the service electronic power steering assist message was displayed on the instrument panel the vehicle resumed normal operation after the vehicle was turned off and restarted the vehicle was taken to johnson brothers ford located at 7455 s general bruce dr temple tx 76502 where it was diagnosed and the contact was informed that
37,the cars overall electronic reliability and safety are huge areas of concern rearview camera and sensors do not always work sometimes it will operate while car is in motion but it will black out which ultimately impairs the drivers ability to reverse and avoid any objects and pedestrians this is potentially dangerous in high-foot traffic area like shopping mall in addition the cars lane assistance mechanism is not accurate at times and could have caused accidents several times for example the sensor sometimes will mis-detect the lanes and wrongly drift the car out of lanes almost causing collision with oncoming cars or adjacent cars moreover the audi sensor which detects object and brakes for the driver doesnt
38,tl the contact owns a 2006 pontiac g6 the contact stated that while driving at an undisclosed speed the power steering assist warning light illuminated and the vehicle loss power steering additionally the contact stated that there was corrosion on the headlamp wiring harness which caused the headlamps to become inoperable a dealer was not contacted the manufacturer was notified of the failure and informed the contact that the vehicle was previously repaired under nhtsa campaign number 15v604000 steering the vehicle was not repaired the failure mileage was 15901900 invalid vin
39,this truck is manufactured 2021-09-15 00:00:00 and has an electronic power steering there is a recall 16v167000 power steering all of a sudden stopped working last week why would my truck not fit the bill as everything matches the below recall number 16v167000 recall date 32316 component steeringelectric power assist system summary chrysler fca us llc is recalling certain model year 2015-2016 ram 1500 trucks manufactured january 22 2015 to september 13 2015 contamination on the electric power steering eps control circuit board may cause a short and result in the loss of power steering assist consequence if the vehicle experiences a loss of power steering assist extra steering effort will this truck is manufactured 2021-09-15 00:00:00 and has an electronic power steering there is a recall 16v167000 power steering all of a sudden stopped working last week why would my truck not fit the bill as everything matches the below recall number 16v167000 recall date 32316 component steeringelectric power assist system summary chrysler fca us llc is recalling certain model year 2015-2016 ram 1500 trucks manufactured january 22 2015 to september 13 2015 contamination on the electric power steering eps control circuit board may cause a short and result in the loss of power steering assist consequence if the vehicle experiences a loss of power steering assist extra steering effort will
40,these issues been happening since the second month i owned my 2019 mazda 3 hatchback 1- suspensions theyre very rough harsh they bounce so much for no reason i damaged one tire already while i was driving on i476 normal highway where i stepped on normal pothole ended up damaging my tire suspensions are really dangers on all roads 2- adaptive cruise control this feature many times almost caused an accident rear end specially on highways for some reason it doesnt detect the car in front of me when i have auto cruise enabled no rain clear weather this been reported more than 5 times to the dealership its hard for them to tell what
41,power steering assist fault - adavancetrac service vehicle looses all power steering has only happened when in parked position but unable to drive without power steering and does not reset could cause serious injury or death there is a recall for the same issue but not this vin this vin should be included tr
42,tl the contact owns a 2014 ford fusion the contact stated that while driving at 60 mph the steering ceased with the hill start assist not available service advance trac and power steering assist warning light illuminated the contact veered to the shoulder of the roadway turned the vehicle off and restarted however the failure persisted the vehicle was towed to the residence the vehicle was towed to autonation ford union city 4355 jonesboro road union city ga 30291 -770 674-6075 however the mechanic was unable to duplicate the failure or provide a cause for the failure the contact referenced the failure to nhtsa campaign number 15v250000 steering
43,while driving at low speeds exiting a parking lot with a downward slope towards a street the cars autonomous emergency braking system activated immediately causing the vehicle stop unexpectedly no other car was in front of the vehicle indicating that the system perceives the road as an obstacle the unexpected stop caused another vehicle behind me to nearly rear-end my vehicle additionally they aeb system did not allow me to quickly restart acceleration which left me temporarily stranded for a couple second perpendicular to the street tr
44,tl the contact owns a 2019 honda insight the contact stated that while driving at various speeds the collision avoidance sensor activated which caused the automatic braking system to abruptly stop the vehicle the vehicle was taken to pohanka honda located at 1772 ritchie station ct capital heights md -301 899-7800 however the mechanic was unable to determine the cause for the failure the vehicle was not repaired the manufacturer was notified of the failure june 13 20200000 car was taken in for maintenance 26295 mileage in at dealership for 5 days scheduled b maintenance and fuel pump motor safety recall performed diagnostic was also done at the request of contact car
45,2012 ford fusion sel electronic power steering assist light comes on loss of power steering has happened several times in recent weeks has almost caused me to hit a pedestrian i see this year make and model are affected and also from the plant the car was manufactured by on the recall list but my car and dealership says its not covered tr
46,i started to drive my 2014 ford escape and the vehicle had no power steering i noticed the steering assist fault light was on i was able to drive from the gas station to my house which was only a few blocks it was very hard to turn the steering wheel i had to have it towed to the ford dealership the ford service advisor told me that the rack pinion is internally damaged and needs to be replaced he also stated the rack pinion is a seal component so that is why the entire thing has to be replaced this is a safety concern if i was driving at a higher speed during the failure it could have caused a accident with
47,2016 honda civic ex steering wheel sticky stiff jerky my vehicle does not have lane keeping assist the power steering works fine for large movements but for subtle movements it would cause resistance and jerk when you add more force to turn this issue does not matter with vehicle speed stopped or moving produces the same result and only requires the engine to be running this issue causes jerky lane position and potentially dangerous over correction at highway speeds the resistance makes it difficult to change lanes as it feels like a force is acting in opposite direction and it takes more to make subtle movements please look at a video i found from a fellow civic owner this is exactly the same problem 2016 honda civic ex steering wheel sticky stiff jerky my vehicle does not have lane keeping assist the power steering works fine for large movements but for subtle movements it would cause resistance and jerk when you add more force to turn this issue does not matter with vehicle speed stopped or moving produces the same result and only requires the engine to be running this issue causes jerky lane position and potentially dangerous over correction at highway speeds the resistance makes it difficult to change lanes as it feels like a force is acting in opposite direction and it takes more to make subtle movements please look at a video i found from a fellow civic owner this is exactly the same problem
48,steering assist fault like came on while driving i was unable to steer luckily nobody was hurt but this could have been deadly for myself granddaughter and anyone else around there was no warning no sounds nothing i see ford had recalls for up until 2013 for this problem but i dont see any for 2015 and from reading information it has caused accidents injuring people i would like to see a recall on this
49,i was driving my car on the sunken meadows parkway with my nephew in the back seat there was no cars in front of me or other objects our of nowhere the automatic braking system in the car went off with warning lights and the car came to a complete stop multiple cars behind me swerved out of the way almost causing a multi- car accident this instance has happened multiple times before after each incident i went to nissan 112 and brought my car into service they simply fixed the sensor of the braking system under the recall this has not been a solution the automatic braking system continues to go off in situations where it should not which causes a hazard for
50,two separate incidents of vehicle performing preemptive braking with no other vehicles or objects present while the vehicle was in motion the first incident occurred while traveling at speeds approximately between 45-50 mph through a four-way intersection no vehicles were present the second incident occurred while driving at a speed that was approximately between 30-45 mph approaching an intersection probable cause front crash prevention forward emergency braking with pedestrian detection predictive forward collision warning the vehicle was checked in for service and after a seven day period no faults were found the dealership could not replicate the condition stated above tr
51,tl the contact owns a 2019 volvo xc60 hybrid the contact stated that while driving approximately 30 mph the vehicle ahead suddenly stopped and the automatic emergency braking system did not activate causing the vehicle to crash into a second vehicle no injuries were reported a police report was taken at the scene the vehicle was towed away the cause of the failure was not determined the local dealer findlay volvo 5385 w sahara ave las vegas nv was notified of the failure the manufacturer was not notified the failure mileage was 700000
52,while driving the power steering failed and said power steering assist fault also the stability control system is showing i know there were recalls on the 2012 ford fusion in 2015 this has happened 4 times to me and almost caused an accident while driving with my children in the car 3 times it failed then came back working but now doesnt work at all this is my only form of transportation and i need to have the recall honored on this car i raise 2 of my grandchildren and i do not have 2000 to fix this problem thank you tr
53,unintended braking at 45 mph full lock up with no cause released at 10 mph clear 4-lane street no curves no debris no cars nearby no shadows i was in the left lane dealer told me not to use the adaptive cruise control in the city that is what sold me on the car tr
54,the electric power steering assist failed and the power steering fault message appeared when backing out of my garage after turning the ignition off and starting the car again the problem resolved my ford dealer found code u300049 stored required replacement of the entire steering gear at a cost of 255947 including alignment i feel fortunate that this happened in my driveway if it had been on the highway it could have caused a serious accident the service advisor said that this was the first escape he has seen with this problem but i have found numerous accounts of similar problems on the internet tr
55,i was driving home in a residential neighborhood my power steering unexpectedly cut out and the check engine power steering and traction control light came on simultaneously because i could not control the car with the unexpected loss of power steering i drove off the road until i could brake the vehicle was in motion as this occurred and going forward at a low rate of speed the error appears to be around the electronic steering assist system brought to garage next morning via tow truck car was behaving normally all warning lights off and steering functional shop checked grounds power and a wiring harness and could not find the cause for the steering to cut out like it did as they could not
56,1 car flashes brake and sometimes brakes on its own when it detects an object along the side of the road or when a car may be approaching in the opposite lane or in a center turning lane this has nearly caused an accident on two different occasions each time the lane we are in is clear and usually doesnt even have a vehicle in front of us 2 when in cruise control the acc will detect a vehicle in front of us going maybe 2 mhp slower than our set speed and our car will abruptly slow down to about 10 mph below the acc set point then it detects there is clear distance to the vehicle in front and will
57,everytime i stop at a red light or brake the vehiclewhen coming to a stop in trafficthe car completely cuts offthe alert steering assist is reduced drive with care constantly comes on whenever there is an auto stop and the car restarts the radio and air would also turn off when auto stop is activated this turn off also causes the radio screen to go black for a short time until it restarts which is a big problem and dangerous when driving in traffic the normal auto stop would be somewhat silent but when it turns back on now it hisses and turns back on i also hear something as if water is passing through pipes after andor
58,while driving without warning a steering assist fault popped up and i was un able to steer my expedition at 70 miles an hour now i am stuck and have get it towed after it almost caused me to wreck ive looked it up and its a very common problem so was shock to find that it is not a recall its going to kill someone
59,it started with the truck losing power when making slow speed turns into drivewayparking spot which includes loss of power steering which has caused me to almost crash several times the power used to come back up but now it is resulting in the truck just turning itself off mid turn and not just on slow turns it happened when i was making a turn onto a street and i was forced to muscle the truck off the side of the road- no power at all so no power steering-going about 2021-10-15 00:00:00 mph when driving with cruise control on if you use the turn signal it kicks off the cruise control the ac will just stop and the truck it started with the truck losing power when making slow speed turns into drivewayparking spot which includes loss of power steering which has caused me to almost crash several times the power used to come back up but now it is resulting in the truck just turning itself off mid turn and not just on slow turns it happened when i was making a turn onto a street and i was forced to muscle the truck off the side of the road- no power at all so no power steering-going about 2021-10-15 00:00:00 mph when driving with cruise control on if you use the turn signal it kicks off the cruise control the ac will just stop and the truck
60,tl the contact owns a 2019 hyundai kona the contact stated that while driving 70 mph the vehicle stalled with the forward collision avoidance warning light illuminated the vehicle was restarted the contact stated that the failure recurred after driving for 30 minutes the vehicle was taken to lia hyundai albany located at 945 central ave albany ny 12205 where the technician was unable to provide a cause for the failure the contact was informed to take a picture when the failure recurred the contact was concerned about attempting to take a picture while driving should the failure recur the vehicle was not repaired the manufacturer was not made aware of the failure the failure mileage
61,the automatic brakes have engaged three separate times all while driving on the highway 60 mph minimum each time in the right lane each time no cars were present i didnt veer off the road and there was nothing to trigger the automatic braking system honda mechanic told me a bug must have been smashed on the sensor and that caused the braking i find this hard to believe given this has happened three times in the last six months including during cold weather the automatic brakes have engaged three separate times all while driving on the highway 60 mph minimum each time in the right lane each time no cars were present i didnt veer off the road and there was nothing to trigger the automatic braking system honda mechanic told me a bug must have been smashed on the sensor and that caused the braking i find this hard to believe given this has happened three times in the last six months including during cold weather
62,tl the contact owns a 2020 nissan altima the contact stated that upon approaching a stop light he attempted to stop the vehicle but the brake pedal failed without warning the contact depressed the brake pedal to the floorboard but to no avail due to the brake failure he bumped into the vehicle in front of him at 5 mph the air bags did not deploy upon impact no injuries were reported due to the failure and a police report was not filed the contact was able to resume normal driving after the accident the contact stated that the forward emergency braking system failed without warning which caused the accident concord nissan 1290 concord ave concord ca 94520 was notified tl the contact owns a 2020 nissan altima the contact stated that upon approaching a stop light he attempted to stop the vehicle but the brake pedal failed without warning the contact depressed the brake pedal to the floorboard but to no avail due to the brake failure he bumped into the vehicle in front of him at 5 mph the air bags did not deploy upon impact no injuries were reported due to the failure and a police report was not filed the contact was able to resume normal driving after the accident the contact stated that the forward emergency braking system failed without warning which caused the accident concord nissan 1290 concord ave concord ca 94520 was notified
63,as i was driving at approx 50 mph on the highway the elective power steering on the vehicle disabled my steering wheel locked as steering assist and hill start assist lights started flashing this could easily have caused a serious crash and was extremely dangerous i already had a recall on the steering wheel bolts completed a few months ago
64,on may 28th 2020 i took my 2016 ford fusion hybrid in for serving at 42670 miles because of my vehicles loss of power steering steering wheel stutter and a winning sound while in motion on city street multiple steering notification warning lights came on including power steering assist fault advance trac fault lane keeping malfunction and pre-collision assist not available my vehicles loss of power steering while in traffic caused the vehicle to become difficult to control on may 29th the technicians performed diagnostic test which they told me indicated my steering rack assembly needed to be replaced and a wheel alignment would also need to done a well parts were ordered and on june 4th the
65,the safety system honda sensing that detects a car or pedestrian in your path and engages the brake warning light and automatic braking mechanism will sometimes engage at highway speeds when there is no object any where near the car if this engages that could cause the car to stop on the highway causing a collision i have had this happen 6 times and 2 of those 6 times the warning light came on and and braking occurred the other 4 times the warning light with the brake indicator came on which was distracting
66,riding down the road and the wheel instantly locked up on me stating in the message center of the car power steering assist fault service power steering service power steering now and service advancetrac caused a accident and now my car cause so much money to fix i lost control because the wheel stop turning
67,regardless of whether the car is in drive or park the electronic system makes an awful crackingpopping sound this also happens when the doors lock etc last week the sound got so intense that and all of the sudden the speedometer and radio system went completely blank and would not come back on this will be the second time that this car has gone into the shop for repair i have also noticed that the automatic braking system will brake for no reason - which could potentially cause a very serious accident i purchased this car feeling that it would be one of the safest options for transporting my four children however i have become quick to realize that may not be
68,steering assist fault steering loss vehicle experienced steering loss while driving at 45 mph and nearly cause a fatal accident electronic steering assist can fail with out warning which results in loss of steering while vehicle is in motion potentially endangering the driver passengers as well as other motorists this is a huge safety issue and must be addressed immediately steering assist fault steering loss vehicle experienced steering loss while driving at 45 mph and nearly cause a fatal accident electronic steering assist can fail with out warning which results in loss of steering while vehicle is in motion potentially endangering the driver passengers as well as other motorists this is a huge safety issue and must be addressed immediately
69,the pressurized lower power steering fluid hose is inadequately clamped at the cooler unit and is of insufficient length resulting in the hose loosening and eventually disconnecting this causes a loss of all power steering assist upon the advice of other owners who have suffered catastrophic steering loss i inspected the lower hose connection in my driveway and found it had come partially disconnected i had to reattach the hose and secure it with a traditional worm-style hose clamp the pressurized lower power steering fluid hose is inadequately clamped at the cooler unit and is of insufficient length resulting in the hose loosening and eventually disconnecting this causes a loss of all power steering assist upon the advice of other owners who have suffered catastrophic steering loss i inspected the lower hose connection in my driveway and found it had come partially disconnected i had to reattach the hose and secure it with a traditional worm-style hose clamp
