Sentence_id,Word,Label (J),Label (M),Label (Z),Unnamed: 5,Unnamed: 6,Unnamed: 7,O,B-C,I-C,B-E,I-E,B-BE,I-BE,Total_Label
1.0,to,O,O,O,,,out,,,,,,,,O
1.0,work,O,O,O,,,i,,,,,,,,O
1.0,with,O,O,O,,,attempted,,,,,,,,O
1.0,gm,O,O,O,,,to,,,,,,,,O
1.0,to,O,O,O,,,work,,,,,,,,O
1.0,have,O,O,O,,,with,,,,,,,,O
1.0,them,O,O,O,,,gm,,,,,,,,O
1.0,take,O,O,O,,,to,,,,,,,,O
1.0,the,O,O,O,,,have,,,,,,,,O
1.0,car,O,O,O,,,them,,,,,,,,O
1.0,back,O,O,O,,,take,,,,,,,,O
1.0,early,O,O,O,,,the,,,,,,,,O
1.0,lease,O,O,O,,,car,,,,,,,,O
1.0,and,O,O,O,,,back,,,,,,,,O
1.0,the,O,O,O,,,early,,,,,,,,O
1.0,request,O,O,O,,,lease,,,,,,,,O
1.0,was,O,O,O,,,and,,,,,,,,O
1.0,recently,O,O,O,,,the,,,,,,,,O
1.0,denied,O,O,O,,,request,,,,,,,,O
1.0,this,O,O,O,,,was,,,,,,,,O
1.0,is,O,O,O,,,recently,,,,,,,,O
1.0,my,O,O,O,,,denied,,,,,,,,O
1.0,3rd,O,O,O,,,this,,,,,,,,O
1.0,acadia,O,O,O,,,is,,,,,,,,O
1.0,and,O,O,O,,,my,,,,,,,,O
1.0,it,O,O,O,,,3rd,,,,,,,,O
1.0,by,O,O,O,,,acadia,,,,,,,,O
1.0,far,O,O,O,,,and,,,,,,,,O
1.0,is,O,O,O,,,it,,,,,,,,O
1.0,the,O,O,O,,,by,,,,,,,,O
1.0,most,O,O,O,,,far,,,,,,,,O
1.0,dangerous,O,O,O,,,is,,,,,,,,O
1.0,car,O,O,O,,,the,,,,,,,,O
1.0,i,O,O,O,,,most,,,,,,,,O
1.0,have,O,O,O,,,dangerous,,,,,,,,O
1.0,ever,O,O,O,,,car,,,,,,,,O
1.0,driven,O,O,O,,,i,,,,,,,,O
1.0,i,O,O,O,,,have,,,,,,,,O
1.0,am,O,O,O,,,ever,,,,,,,,O
1.0,now,O,O,O,,,driven,,,,,,,,O
1.0,reading,O,O,O,,,i,,,,,,,,O
1.0,about,O,O,O,,,am,,,,,,,,O
2.0,tl,O,O,O,,,now,,,,,,,,O
2.0,the,O,O,O,,,reading,,,,,,,,O
2.0,contact,O,O,O,,,about,,,,,,,,O
2.0,owns,O,O,O,,,tl,,,,,,,,O
2.0,a,O,O,O,,,the,,,,,,,,O
2.0,2015,O,O,O,,,contact,,,,,,,,O
2.0,ford,O,O,O,,,owns,,,,,,,,O
2.0,fusion,O,O,O,,,a,,,,,,,,O
2.0,while,O,O,O,,,2015,,,,,,,,O
2.0,operating,O,O,O,,,ford,,,,,,,,O
2.0,the,O,O,O,,,fusion,,,,,,,,O
2.0,vehicle,O,O,O,,,while,,,,,,,,O
2.0,the,B-C,B-C,B-CE,,,operating,,,,,,,,B-C
2.0,power,I-C,I-C,I-CE,,,the,,,,,,,,I-C
2.0,steering,I-C,I-C,I-CE,,,vehicle,,,,,,,,I-C
2.0,assist,I-C,I-C,I-CE,,,the,,,,,,,,I-C
2.0,failed,O,O,I-CE,,,power,,,,,,,,O
2.0,and,O,O,O,,,steering,,,,,,,,O
2.0,caused,O,O,O,,,assist,,,,,,,,O
2.0,the,B-E,B-E,B-E,,,failed,,,,,,,,B-E
2.0,steering,I-E,I-E,I-E,,,and,,,,,,,,I-E
2.0,wheel,I-E,I-E,I-E,,,caused,,,,,,,,I-E
2.0,to,I-E,I-E,I-E,,,the,,,,,,,,I-E
2.0,become,I-E,I-E,I-E,,,steering,,,,,,,,I-E
2.0,very,I-E,I-E,I-E,,,wheel,,,,,,,,I-E
2.0,difficult,I-E,I-E,I-E,,,to,,,,,,,,I-E
2.0,to,I-E,I-E,I-E,,,become,,,,,,,,I-E
2.0,turn,I-E,I-E,I-E,,,very,,,,,,,,I-E
2.0,in,I-E,I-E,I-E,,,difficult,,,,,,,,I-E
2.0,either,I-E,I-E,I-E,,,to,,,,,,,,I-E
2.0,direction,I-E,I-E,I-E,,,turn,,,,,,,,I-E
2.0,the,O,O,O,,,in,,,,,,,,O
2.0,vehicle,O,O,O,,,either,,,,,,,,O
2.0,was,O,O,O,,,direction,,,,,,,,O
2.0,taken,O,O,O,,,the,,,,,,,,O
2.0,to,O,O,O,,,vehicle,,,,,,,,O
2.0,an,O,O,O,,,was,,,,,,,,O
2.0,unknown,O,O,O,,,taken,,,,,,,,O
2.0,dealer,O,O,O,,,to,,,,,,,,O
2.0,to,O,O,O,,,an,,,,,,,,O
2.0,be,O,O,O,,,unknown,,,,,,,,O
2.0,diagnosed,O,O,O,,,dealer,,,,,,,,O
2.0,the,O,O,O,,,to,,,,,,,,O
2.0,contact,O,O,O,,,be,,,,,,,,O
2.0,was,O,O,O,,,diagnosed,,,,,,,,O
2.0,informed,O,O,O,,,the,,,,,,,,O
2.0,that,O,O,O,,,contact,,,,,,,,O
2.0,the,O,O,B-C,,,was,,,,,,,,O
2.0,steering,O,O,I-C,,,informed,,,,,,,,O
2.0,rack,O,O,I-C,,,that,,,,,,,,O
2.0,was,O,O,I-C,,,the,,,,,,,,O
2.0,defective,O,O,I-C,,,steering,,,,,,,,O
2.0,and,O,O,O,,,rack,,,,,,,,O
2.0,needed,O,O,O,,,was,,,,,,,,O
2.0,to,O,O,O,,,defective,,,,,,,,O
2.0,be,O,O,O,,,and,,,,,,,,O
2.0,replaced,O,O,O,,,needed,,,,,,,,O
2.0,the,O,O,O,,,to,,,,,,,,O
2.0,vehicle,O,O,O,,,be,,,,,,,,O
2.0,was,O,O,O,,,replaced,,,,,,,,O
2.0,not,O,O,O,,,the,,,,,,,,O
2.0,repaired,O,O,O,,,vehicle,,,,,,,,O
2.0,the,O,O,O,,,was,,,,,,,,O
2.0,manufacturer,O,O,O,,,not,,,,,,,,O
2.0,was,O,O,O,,,repaired,,,,,,,,O
2.0,notified,O,O,O,,,the,,,,,,,,O
2.0,of,O,O,O,,,manufacturer,,,,,,,,O
2.0,the,O,O,O,,,was,,,,,,,,O
2.0,failure,O,O,O,,,notified,,,,,,,,O
2.0,there,O,O,O,,,of,,,,,,,,O
2.0,was,O,O,O,,,the,,,,,,,,O
2.0,no,O,O,O,,,failure,,,,,,,,O
2.0,assistance,O,O,O,,,there,,,,,,,,O
2.0,offered,O,O,O,,,was,,,,,,,,O
2.0,the,O,O,O,,,no,,,,,,,,O
2.0,failure,O,O,O,,,assistance,,,,,,,,O
2.0,mileage,O,O,O,,,offered,,,,,,,,O
2.0,was,O,O,O,,,the,,,,,,,,O
2.0,10000000,O,O,O,,,failure,,,,,,,,O
3.0,experienced,O,O,O,,,mileage,,,,,,,,O
3.0,loss,B-E,B-E,B-E,,,was,,,,,,,,B-E
3.0,of,I-E,I-E,I-E,,,10000000,,,,,,,,I-E
3.0,electric,I-E,I-E,I-E,,,experienced,,,,,,,,I-E
3.0,power,I-E,I-E,I-E,,,loss,,,,,,,,I-E
3.0,steering,I-E,I-E,I-E,,,of,,,,,,,,I-E
3.0,assist,I-E,I-E,I-E,,,electric,,,,,,,,I-E
3.0,while,O,O,O,,,power,,,,,,,,O
3.0,driving,O,O,O,,,steering,,,,,,,,O
3.0,on,O,O,O,,,assist,,,,,,,,O
3.0,winding,O,O,O,,,while,,,,,,,,O
3.0,mountain,O,O,O,,,driving,,,,,,,,O
3.0,road,O,O,O,,,on,,,,,,,,O
3.0,within,O,O,O,,,winding,,,,,,,,O
3.0,11,O,O,O,,,mountain,,,,,,,,O
3.0,months,O,O,O,,,road,,,,,,,,O
3.0,of,O,O,O,,,within,,,,,,,,O
3.0,having,O,O,O,,,11,,,,,,,,O
3.0,recall,O,O,O,,,months,,,,,,,,O
3.0,14s06,O,O,O,,,of,,,,,,,,O
3.0,performed,O,O,O,,,having,,,,,,,,O
3.0,on,O,O,O,,,recall,,,,,,,,O
3.0,vehicle,O,O,O,,,14s06,,,,,,,,O
3.0,was,O,O,O,,,performed,,,,,,,,O
3.0,informed,O,O,O,,,on,,,,,,,,O
3.0,by,O,O,O,,,vehicle,,,,,,,,O
3.0,ford,O,O,O,,,was,,,,,,,,O
3.0,service,O,O,O,,,informed,,,,,,,,O
3.0,that,O,O,O,,,by,,,,,,,,O
3.0,cause,O,O,O,,,ford,,,,,,,,O
3.0,was,O,O,O,,,service,,,,,,,,O
3.0,failure,B-C,B-C,B-C,,,that,,,,,,,,B-C
3.0,of,I-C,I-C,I-C,,,cause,,,,,,,,I-C
3.0,part,I-C,I-C,I-C,,,was,,,,,,,,I-C
3.0,replaced,I-C,I-C,I-C,,,failure,,,,,,,,I-C
3.0,to,O,O,O,,,of,,,,,,,,O
3.0,resolve,O,O,O,,,part,,,,,,,,O
3.0,recall,O,O,O,,,replaced,,,,,,,,O
3.0,14s06,O,O,O,,,to,,,,,,,,O
4.0,car,O,O,O,,,resolve,,,,,,,,O
4.0,has,O,O,O,,,recall,,,,,,,,O
4.0,almost,O,O,O,,,14s06,,,,,,,,O
4.0,15000,O,O,O,,,car,,,,,,,,O
4.0,miles,O,O,O,,,has,,,,,,,,O
4.0,it,O,O,O,,,almost,,,,,,,,O
4.0,has,O,O,O,,,15000,,,,,,,,O
4.0,developed,O,O,O,,,miles,,,,,,,,O
4.0,a,O,B-C,B-C,,,it,,,,,,,,O
4.0,strange,O,I-C,I-C,,,has,,,,,,,,O
4.0,sticking,O,I-C,I-C,,,developed,,,,,,,,O
4.0,issue,O,I-C,I-C,,,a,,,,,,,,O
4.0,in,O,O,O,,,strange,,,,,,,,O
4.0,the,O,O,O,,,sticking,,,,,,,,O
4.0,steering,O,O,O,,,issue,,,,,,,,O
4.0,while,O,O,O,,,in,,,,,,,,O
4.0,driving,O,O,O,,,the,,,,,,,,O
4.0,on,O,O,O,,,steering,,,,,,,,O
4.0,the,O,O,O,,,while,,,,,,,,O
4.0,highway,O,O,O,,,driving,,,,,,,,O
4.0,it,O,O,O,,,on,,,,,,,,O
4.0,almost,O,O,O,,,the,,,,,,,,O
4.0,feels,O,O,O,,,highway,,,,,,,,O
4.0,like,O,O,O,,,it,,,,,,,,O
4.0,someone,O,O,O,,,almost,,,,,,,,O
4.0,is,O,O,O,,,feels,,,,,,,,O
4.0,lightly,O,O,O,,,like,,,,,,,,O
4.0,holding,O,O,O,,,someone,,,,,,,,O
4.0,onto,O,O,O,,,is,,,,,,,,O
4.0,the,O,O,O,,,lightly,,,,,,,,O
4.0,wheel,O,O,O,,,holding,,,,,,,,O
4.0,as,O,O,O,,,onto,,,,,,,,O
4.0,im,O,O,O,,,the,,,,,,,,O
4.0,slightly,O,O,O,,,wheel,,,,,,,,O
4.0,turning,O,O,O,,,as,,,,,,,,O
4.0,and,O,O,O,,,im,,,,,,,,O
4.0,then,O,O,O,,,slightly,,,,,,,,O
4.0,suddenly,O,O,O,,,turning,,,,,,,,O
4.0,lets,O,O,O,,,and,,,,,,,,O
4.0,go,O,O,O,,,then,,,,,,,,O
4.0,this,O,O,O,,,suddenly,,,,,,,,O
4.0,causes,O,O,O,,,lets,,,,,,,,O
4.0,me,O,B-E,O,,,go,,,,,,,,O
4.0,to,O,I-E,O,,,this,,,,,,,,O
4.0,overcorrect,O,I-E,B-E,,,causes,,,,,,,,O
4.0,to,O,I-E,I-E,,,me,,,,,,,,O
4.0,stay,O,I-E,I-E,,,to,,,,,,,,O
4.0,in,O,I-E,I-E,,,overcorrect,,,,,,,,O
4.0,the,O,I-E,I-E,,,to,,,,,,,,O
4.0,lane,O,I-E,I-E,,,stay,,,,,,,,O
4.0,and,O,O,I-E,,,in,,,,,,,,O
4.0,it,O,O,I-E,,,the,,,,,,,,O
4.0,becomes,O,O,I-E,,,lane,,,,,,,,O
4.0,a,O,O,I-E,,,and,,,,,,,,O
4.0,fight,O,O,I-E,,,it,,,,,,,,O
4.0,to,O,O,I-E,,,becomes,,,,,,,,O
4.0,keep,O,O,I-E,,,a,,,,,,,,O
4.0,the,O,O,I-E,,,fight,,,,,,,,O
4.0,car,O,O,I-E,,,to,,,,,,,,O
4.0,in,O,O,I-E,,,keep,,,,,,,,O
4.0,between,O,O,I-E,,,the,,,,,,,,O
4.0,lanes,O,O,I-E,,,car,,,,,,,,O
4.0,it,O,O,O,,,in,,,,,,,,O
4.0,is,O,O,O,,,between,,,,,,,,O
4.0,most,O,O,O,,,lanes,,,,,,,,O
4.0,apparent,O,O,O,,,it,,,,,,,,O
4.0,when,O,O,O,,,is,,,,,,,,O
4.0,exiting,O,O,O,,,most,,,,,,,,O
4.0,freeway,O,O,O,,,apparent,,,,,,,,O
4.0,ramps,O,O,O,,,when,,,,,,,,O
4.0,and,O,O,O,,,exiting,,,,,,,,O
4.0,changing,O,O,O,,,freeway,,,,,,,,O
4.0,lanes,O,O,O,,,ramps,,,,,,,,O
4.0,although,O,O,O,,,and,,,,,,,,O
4.0,its,O,O,O,,,changing,,,,,,,,O
4.0,also,O,O,O,,,lanes,,,,,,,,O
4.0,apparent,O,O,O,,,although,,,,,,,,O
4.0,on,O,O,O,,,its,,,,,,,,O
4.0,the,O,O,O,,,also,,,,,,,,O
4.0,freeway,O,O,O,,,apparent,,,,,,,,O
4.0,when,O,O,O,,,on,,,,,,,,O
4.0,small,O,O,O,,,the,,,,,,,,O
4.0,corrections,O,O,O,,,freeway,,,,,,,,O
4.0,are,O,O,O,,,when,,,,,,,,O
4.0,needed,O,O,O,,,small,,,,,,,,O
4.0,to,O,O,O,,,corrections,,,,,,,,O
4.0,keep,O,O,O,,,are,,,,,,,,O
4.0,the,O,O,O,,,needed,,,,,,,,O
4.0,vehicle,O,O,O,,,to,,,,,,,,O
4.0,in,O,O,O,,,keep,,,,,,,,O
4.0,between,O,O,O,,,the,,,,,,,,O
4.0,lanes,O,O,O,,,vehicle,,,,,,,,O
4.0,the,O,O,O,,,in,,,,,,,,O
4.0,other,O,O,O,,,between,,,,,,,,O
4.0,symptom,O,O,O,,,lanes,,,,,,,,O
4.0,is,O,O,O,,,the,,,,,,,,O
4.0,that,O,O,O,,,other,,,,,,,,O
4.0,the,O,O,O,,,symptom,,,,,,,,O
4.0,car,O,O,O,,,is,,,,,,,,O
4.0,has,O,O,O,,,that,,,,,,,,O
4.0,become,O,O,O,,,the,,,,,,,,O
4.0,difficult,O,O,O,,,car,,,,,,,,O
4.0,to,O,O,O,,,has,,,,,,,,O
4.0,keep,O,O,O,,,become,,,,,,,,O
4.0,in,O,O,O,,,difficult,,,,,,,,O
4.0,a,O,O,O,,,to,,,,,,,,O
4.0,straight,O,O,O,,,keep,,,,,,,,O
4.0,line,O,O,O,,,in,,,,,,,,O
4.0,it,O,O,O,,,a,,,,,,,,O
4.0,requires,O,O,O,,,straight,,,,,,,,O
4.0,constant,O,O,O,,,line,,,,,,,,O
4.0,light,O,O,O,,,it,,,,,,,,O
4.0,correction,O,O,O,,,requires,,,,,,,,O
4.0,of,O,O,O,,,constant,,,,,,,,O
4.0,the,O,O,O,,,light,,,,,,,,O
4.0,steering,O,O,O,,,correction,,,,,,,,O
4.0,wheel,O,O,O,,,of,,,,,,,,O
4.0,because,O,O,O,,,the,,,,,,,,O
4.0,the,O,O,O,,,steering,,,,,,,,O
4.0,car,O,O,O,,,wheel,,,,,,,,O
5.0,same,O,O,O,,,because,,,,,,,,O
5.0,as,O,O,O,,,the,,,,,,,,O
5.0,other,O,O,O,,,car,,,,,,,,O
5.0,people,O,O,O,,,same,,,,,,,,O
5.0,-,O,O,O,,,as,,,,,,,,O
5.0,i,O,O,O,,,other,,,,,,,,O
5.0,juts,O,O,O,,,people,,,,,,,,O
5.0,copied,O,B-E,O,,,-,,,,,,,,O
5.0,another,O,I-E,O,,,i,,,,,,,,O
5.0,persons,O,I-E,O,,,juts,,,,,,,,O
5.0,complaint,O,I-E,O,,,copied,,,,,,,,O
5.0,as,O,O,O,,,another,,,,,,,,O
5.0,its,O,B-C,O,,,persons,,,,,,,,O
5.0,identical,O,I-E,O,,,complaint,,,,,,,,O
5.0,and,O,I-E,O,,,as,,,,,,,,O
5.0,same,O,I-E,O,,,its,,,,,,,,O
5.0,mileage,O,I-E,O,,,identical,,,,,,,,O
5.0,etc,O,O,O,,,and,,,,,,,,O
5.0,-,O,O,O,,,same,,,,,,,,O
5.0,this,O,O,O,,,mileage,,,,,,,,O
5.0,is,O,O,O,,,etc,,,,,,,,O
5.0,a,O,O,O,,,-,,,,,,,,O
5.0,real,O,O,O,,,this,,,,,,,,O
5.0,problem,O,O,O,,,is,,,,,,,,O
5.0,car,O,O,O,,,a,,,,,,,,O
5.0,has,O,O,O,,,real,,,,,,,,O
5.0,almost,O,O,O,,,problem,,,,,,,,O
5.0,15000,O,O,O,,,car,,,,,,,,O
5.0,miles,O,O,O,,,has,,,,,,,,O
5.0,it,O,O,O,,,almost,,,,,,,,O
5.0,has,O,O,O,,,15000,,,,,,,,O
5.0,developed,O,O,O,,,miles,,,,,,,,O
5.0,a,O,B-C,B-C,,,it,,,,,,,,O
5.0,strange,O,I-C,I-C,,,has,,,,,,,,O
5.0,sticking,O,I-C,I-C,,,developed,,,,,,,,O
5.0,issue,O,I-C,I-C,,,a,,,,,,,,O
5.0,in,O,O,O,,,strange,,,,,,,,O
5.0,the,O,O,O,,,sticking,,,,,,,,O
5.0,steering,O,O,O,,,issue,,,,,,,,O
5.0,while,O,O,O,,,in,,,,,,,,O
5.0,driving,O,O,O,,,the,,,,,,,,O
5.0,on,O,O,O,,,steering,,,,,,,,O
5.0,the,O,O,O,,,while,,,,,,,,O
5.0,highway,O,O,O,,,driving,,,,,,,,O
5.0,it,O,O,O,,,on,,,,,,,,O
5.0,almost,O,O,O,,,the,,,,,,,,O
5.0,feels,O,O,O,,,highway,,,,,,,,O
5.0,like,O,O,O,,,it,,,,,,,,O
5.0,someone,O,O,O,,,almost,,,,,,,,O
5.0,is,O,O,O,,,feels,,,,,,,,O
5.0,lightly,O,O,O,,,like,,,,,,,,O
5.0,holding,O,O,O,,,someone,,,,,,,,O
5.0,onto,O,O,O,,,is,,,,,,,,O
5.0,the,O,O,O,,,lightly,,,,,,,,O
5.0,wheel,O,O,O,,,holding,,,,,,,,O
5.0,as,O,O,O,,,onto,,,,,,,,O
5.0,im,O,O,O,,,the,,,,,,,,O
5.0,slightly,O,O,O,,,wheel,,,,,,,,O
5.0,turning,O,O,O,,,as,,,,,,,,O
5.0,and,O,O,O,,,im,,,,,,,,O
5.0,then,O,O,O,,,slightly,,,,,,,,O
5.0,suddenly,O,O,O,,,turning,,,,,,,,O
5.0,lets,O,O,O,,,and,,,,,,,,O
5.0,go,O,O,O,,,then,,,,,,,,O
5.0,this,O,O,O,,,suddenly,,,,,,,,O
5.0,causes,O,O,O,,,lets,,,,,,,,O
5.0,me,O,B-E,O,,,go,,,,,,,,O
5.0,to,O,I-E,O,,,this,,,,,,,,O
5.0,overcorrect,O,I-E,B-E,,,causes,,,,,,,,O
5.0,to,O,I-E,I-E,,,me,,,,,,,,O
5.0,stay,O,I-E,I-E,,,to,,,,,,,,O
5.0,in,O,I-E,I-E,,,overcorrect,,,,,,,,O
5.0,the,O,I-E,I-E,,,to,,,,,,,,O
5.0,lane,O,I-E,I-E,,,stay,,,,,,,,O
5.0,and,O,O,I-E,,,in,,,,,,,,O
5.0,it,O,O,I-E,,,the,,,,,,,,O
5.0,becomes,O,O,I-E,,,lane,,,,,,,,O
5.0,a,O,O,I-E,,,and,,,,,,,,O
5.0,fight,O,O,I-E,,,it,,,,,,,,O
5.0,to,O,O,I-E,,,becomes,,,,,,,,O
5.0,keep,O,O,I-E,,,a,,,,,,,,O
5.0,the,O,O,I-E,,,fight,,,,,,,,O
5.0,car,O,O,I-E,,,to,,,,,,,,O
5.0,in,O,O,I-E,,,keep,,,,,,,,O
5.0,between,O,O,I-E,,,the,,,,,,,,O
5.0,lanes,O,O,I-E,,,car,,,,,,,,O
5.0,it,O,O,O,,,in,,,,,,,,O
5.0,is,O,O,O,,,between,,,,,,,,O
5.0,most,O,O,O,,,lanes,,,,,,,,O
5.0,apparent,O,O,O,,,it,,,,,,,,O
5.0,when,O,O,O,,,is,,,,,,,,O
5.0,exiting,O,O,O,,,most,,,,,,,,O
5.0,freeway,O,O,O,,,apparent,,,,,,,,O
5.0,ramps,O,O,O,,,when,,,,,,,,O
5.0,and,O,O,O,,,exiting,,,,,,,,O
5.0,changing,O,O,O,,,freeway,,,,,,,,O
5.0,lanes,O,O,O,,,ramps,,,,,,,,O
5.0,although,O,O,O,,,and,,,,,,,,O
5.0,its,O,O,O,,,changing,,,,,,,,O
5.0,also,O,O,O,,,lanes,,,,,,,,O
5.0,apparent,O,O,O,,,although,,,,,,,,O
5.0,on,O,O,O,,,its,,,,,,,,O
5.0,the,O,O,O,,,also,,,,,,,,O
5.0,freeway,O,O,O,,,apparent,,,,,,,,O
5.0,when,O,O,O,,,on,,,,,,,,O
5.0,small,O,O,O,,,the,,,,,,,,O
5.0,corrections,O,O,O,,,freeway,,,,,,,,O
5.0,are,O,O,O,,,when,,,,,,,,O
5.0,needed,O,O,O,,,small,,,,,,,,O
5.0,to,O,O,O,,,corrections,,,,,,,,O
5.0,keep,O,O,O,,,are,,,,,,,,O
5.0,the,O,O,O,,,needed,,,,,,,,O
5.0,vehicle,O,O,O,,,to,,,,,,,,O
5.0,in,O,O,O,,,keep,,,,,,,,O
5.0,between,O,O,O,,,the,,,,,,,,O
5.0,lanes,O,O,O,,,vehicle,,,,,,,,O
5.0,the,O,O,O,,,in,,,,,,,,O
5.0,other,O,O,O,,,between,,,,,,,,O
5.0,symptom,O,O,O,,,lanes,,,,,,,,O
6.0,driving,O,O,O,,,the,,,,,,,,O
6.0,on,O,O,O,,,other,,,,,,,,O
6.0,highway,O,O,O,,,symptom,,,,,,,,O
6.0,10,O,O,O,,,driving,,,,,,,,O
6.0,lake,O,O,O,,,on,,,,,,,,O
6.0,city,O,O,O,,,highway,,,,,,,,O
6.0,to,O,O,O,,,10,,,,,,,,O
6.0,jacksonville,O,O,O,,,lake,,,,,,,,O
6.0,fl,O,O,O,,,city,,,,,,,,O
6.0,suddenly,O,O,O,,,to,,,,,,,,O
6.0,heavy,B-C,B-C,B-C,,,jacksonville,,,,,,,,B-C
6.0,rain,I-C,I-C,I-C,,,fl,,,,,,,,I-C
6.0,caused,O,O,O,,,suddenly,,,,,,,,O
6.0,car,B-E,B-E,B-E,,,heavy,,,,,,,,B-E
6.0,to,I-E,I-E,I-E,,,rain,,,,,,,,I-E
6.0,skid,I-E,I-E,I-E,,,caused,,,,,,,,I-E
6.0,driving,I-E,I-E,I-E,,,car,,,,,,,,I-E
6.0,in,I-E,I-E,I-E,,,to,,,,,,,,I-E
6.0,autopilot,I-E,I-E,I-E,,,skid,,,,,,,,I-E
